Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,518.000000,520.000000,506.500000,513.700012,499.871918,3837196
2018-05-08,514.000000,519.250000,508.600006,511.450012,497.682465,2519096
2018-05-09,511.450012,514.799988,505.200012,506.149994,492.525116,2477607
2018-05-10,508.000000,509.250000,495.299988,497.200012,483.816040,4218689
2018-05-11,494.000000,496.149994,467.750000,472.049988,459.343048,9906203
2018-05-14,473.000000,487.799988,472.000000,473.799988,461.045959,6746471
2018-05-15,474.000000,480.000000,459.000000,468.649994,456.034576,5493167
2018-05-16,466.000000,473.000000,462.500000,471.700012,459.002472,4675165
2018-05-17,473.000000,486.000000,468.350006,479.850006,466.933105,5939278
2018-05-18,488.950012,488.950012,462.850006,464.899994,452.385498,8722402
2018-05-21,464.200012,465.000000,440.299988,443.750000,431.804840,5809871
2018-05-22,444.850006,456.000000,435.000000,453.000000,440.805847,4466739
2018-05-23,454.000000,461.500000,449.450012,452.250000,440.076019,4549341
2018-05-24,454.899994,469.700012,451.450012,462.850006,450.390686,6237036
2018-05-25,465.500000,469.399994,456.000000,466.450012,453.893829,4971624
2018-05-28,485.000000,504.950012,480.000000,499.700012,486.248779,16007675
2018-05-29,496.600006,509.950012,490.049988,499.500000,486.054138,8258927
2018-05-30,494.899994,503.700012,492.350006,494.549988,481.237335,3851368
2018-05-31,494.899994,496.000000,472.899994,480.350006,467.419617,18790216
2018-06-01,485.000000,489.549988,479.100006,484.350006,471.311951,3793797
2018-06-04,486.000000,490.799988,476.799988,478.600006,465.716736,2995860
2018-06-05,476.149994,483.250000,470.149994,473.500000,460.754028,3076737
2018-06-06,476.899994,492.200012,473.100006,489.850006,476.663879,4126448
2018-06-07,490.649994,493.899994,485.549988,488.750000,475.593475,2197858
2018-06-08,487.000000,533.650024,486.250000,528.250000,514.030273,29224236
2018-06-11,530.000000,544.000000,526.150024,535.700012,521.279663,16452353
2018-06-12,535.700012,544.950012,531.349976,540.450012,525.901855,8140874
2018-06-13,552.200012,560.950012,542.349976,546.299988,531.594360,20167822
2018-06-14,546.000000,562.000000,542.000000,559.250000,544.195801,12154425
2018-06-15,562.000000,573.849976,561.000000,571.299988,555.921387,15166730
2018-06-18,572.000000,578.299988,563.900024,570.099976,554.753601,6090932
2018-06-19,570.000000,576.500000,558.349976,559.950012,544.876831,6719183
2018-06-20,559.000000,565.700012,553.099976,564.099976,548.915161,4435880
