Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,887.000000,892.650024,862.799988,865.599976,849.222229,1884162
2018-07-16,867.000000,867.000000,814.299988,818.150024,802.670044,2929578
2018-07-17,821.000000,831.500000,810.349976,827.400024,811.745056,2386757
2018-07-18,820.000000,827.000000,800.000000,811.000000,795.655273,5728347
2018-07-19,813.750000,814.700012,787.150024,794.549988,779.516541,2616898
2018-07-20,798.950012,802.400024,792.500000,800.650024,785.501221,3233608
2018-07-23,803.000000,806.000000,793.500000,800.099976,784.961487,2280600
2018-07-24,802.000000,826.000000,799.000000,820.950012,805.417053,2200804
2018-07-25,822.900024,823.049988,790.000000,796.950012,781.871155,1812670
2018-07-26,797.049988,815.799988,793.000000,812.849976,797.470337,3883354
2018-07-27,818.000000,825.700012,810.500000,815.250000,799.824890,1673216
2018-07-30,815.400024,836.000000,810.000000,820.099976,809.548157,2759758
2018-07-31,825.000000,830.000000,815.000000,824.400024,813.792908,2219822
2018-08-01,825.049988,847.700012,824.950012,844.200012,833.338074,3182314
2018-08-02,845.400024,867.000000,844.250000,864.849976,853.722412,3951505
2018-08-03,870.000000,895.799988,863.400024,886.000000,874.600281,4137701
2018-08-06,896.599976,897.349976,864.500000,873.150024,861.915649,2530276
2018-08-07,877.400024,890.000000,856.599976,866.599976,855.449829,2701941
2018-08-08,868.099976,884.799988,818.549988,825.549988,814.928040,13275336
2018-08-09,812.099976,844.000000,804.450012,822.849976,812.262756,9891077
2018-08-10,825.299988,827.900024,806.000000,809.450012,799.035217,4015679
2018-08-13,804.500000,819.000000,801.000000,811.950012,801.503052,1985586
2018-08-14,815.000000,840.000000,807.549988,836.750000,825.983948,3243237
2018-08-16,833.900024,851.700012,826.000000,849.750000,838.816650,2434628
2018-08-17,853.700012,884.750000,850.500000,881.250000,869.911438,4311564
2018-08-20,882.000000,892.000000,867.000000,869.250000,858.065796,2288649
2018-08-21,872.000000,891.900024,865.000000,888.599976,877.166809,3430538
2018-08-23,902.000000,917.799988,890.000000,903.299988,891.677673,5023344
2018-08-24,904.799988,914.700012,885.500000,907.200012,895.527527,3452744
2018-08-27,914.799988,919.000000,906.000000,910.799988,899.081177,1908650
2018-08-28,913.000000,918.700012,898.000000,901.750000,890.147644,1776205
2018-08-29,897.000000,905.450012,883.000000,887.099976,875.686096,2692725
2018-08-30,885.000000,900.000000,880.000000,893.650024,882.151917,2421826
2018-08-31,896.799988,939.799988,895.750000,931.450012,919.465515,6888252
2018-09-03,936.500000,957.900024,931.549988,936.099976,924.055664,4911304
2018-09-04,941.000000,944.599976,908.000000,916.799988,905.003967,3294233
2018-09-05,915.400024,926.500000,895.200012,902.849976,891.233459,3295519
2018-09-06,909.599976,922.500000,903.250000,917.950012,906.139221,3319935
2018-09-07,920.000000,962.700012,906.799988,959.400024,947.055908,8389509
2018-09-10,965.000000,986.099976,940.200012,944.400024,932.248901,7326442
2018-09-11,953.650024,959.500000,933.250000,940.299988,928.201599,4039123
2018-09-12,939.000000,963.150024,922.000000,959.349976,947.006531,4140290
